N,P,K,temperature,humidity,ph,rainfall,label
45.49,42.7,90.99,16.3479,15.3868,7.2096,79.1652,chickpea
46.76,69.36,98.82,11.9641,17.1406,7.5263,76.9737,chickpea
52.7,67.26,98.33,17.57,14.0336,7.4286,86.28,chickpea
41.38,68.88,65.21,14.6881,10.0,7.7764,86.6025,chickpea
36.01,72.04,68.9,11.9049,14.7419,7.2462,76.9305,chickpea
44.68,70.86,69.96,14.0392,16.2843,6.9926,59.8205,chickpea
44.8,65.9,70.56,15.7582,11.1577,7.1435,92.7966,chickpea
51.11,67.49,83.23,13.9346,13.2375,7.3247,80.5599,chickpea
37.64,52.96,74.33,15.0401,10.5335,7.5048,68.9156,chickpea
36.68,61.16,100.73,16.4802,10.0,6.7599,79.0654,chickpea
32.28,67.5,99.05,14.5956,17.081,7.2026,59.8891,chickpea
42.3,59.64,79.94,13.1259,13.9888,7.6829,85.5535,chickpea
25.61,75.6,99.55,14.402,18.793,7.1279,60.2879,chickpea
44.21,60.41,94.88,17.8297,16.572,7.4793,72.7917,chickpea
42.7,69.16,75.49,18.3701,12.9374,7.3479,77.4445,chickpea
42.68,68.17,59.91,10.9601,13.7505,7.4868,85.3884,chickpea
39.11,74.46,77.82,17.1821,15.6985,6.9571,76.0654,chickpea
50.26,76.01,73.55,15.5003,16.9007,6.9584,81.3496,chickpea
44.98,73.94,82.07,16.848,14.968,7.2061,74.7183,chickpea
33.14,45.94,80.89,13.899,17.3168,6.7403,74.6781,chickpea
33.29,78.94,80.63,11.4635,13.11,7.1191,75.8548,chickpea
30.96,82.27,85.24,16.169,11.0086,7.2759,73.1094,chickpea
42.41,62.18,67.87,13.118,13.8056,7.7354,58.1343,chickpea
30.0,69.37,84.11,12.2234,14.6156,7.3208,67.3168,chickpea
46.67,58.09,75.6,12.3632,10.3954,7.3876,77.4477,chickpea
48.58,47.52,82.0,16.2018,10.0,7.5493,72.5088,chickpea
30.97,59.61,89.57,15.2789,15.3422,6.9106,73.4419,chickpea
36.52,61.6,67.76,16.5649,12.7809,7.1505,71.7665,chickpea
38.13,63.45,77.19,16.3382,13.5025,7.9276,66.364,chickpea
45.07,57.41,78.81,14.1581,12.9209,7.1763,70.069,chickpea
50.87,59.67,74.86,14.8591,18.5618,7.5349,71.9317,chickpea
24.52,66.89,89.0,13.9771,17.7853,7.4891,75.0514,chickpea
35.45,59.3,72.8,14.5793,10.2879,6.7566,78.9338,chickpea
35.87,72.44,74.45,13.0655,12.4016,7.2931,73.1945,chickpea
26.79,73.82,72.9,15.781,16.55,7.244,64.7034,chickpea
34.12,90.8,90.92,17.1502,15.8058,7.299,61.0192,chickpea
41.42,78.26,75.08,13.3668,13.8756,6.9738,100.9744,chickpea
35.77,69.43,84.6,17.5625,10.5872,6.8649,63.7018,chickpea
25.64,60.8,99.76,15.227,11.9524,7.0572,69.8137,chickpea
60.99,69.94,79.25,15.4822,12.4497,7.1707,80.17,chickpea
40.13,70.27,91.12,11.6011,14.831,7.5555,78.6086,chickpea
38.89,61.87,96.71,11.3855,19.1112,7.7452,80.2087,chickpea
29.22,74.84,90.27,15.2882,11.9394,7.619,70.5728,chickpea
40.09,53.02,79.83,16.5795,10.9219,7.4581,77.3856,chickpea
36.69,64.56,86.42,13.6572,13.6742,6.8987,75.6134,chickpea
22.89,72.56,67.13,18.3402,17.0952,7.0773,71.8787,chickpea
29.44,64.12,72.2,16.4699,10.0,7.263,77.4541,chickpea
44.36,64.93,73.95,13.1833,18.3609,7.0103,85.5537,chickpea
53.55,65.62,102.41,15.0617,13.4839,7.3732,74.778,chickpea
40.94,58.64,71.87,19.9539,11.797,7.4161,74.8445,chickpea
46.82,78.74,71.73,12.5149,10.0,7.3609,85.6816,chickpea
36.75,56.82,69.56,16.0565,16.1196,7.5075,84.6136,chickpea
37.31,70.18,85.6,14.3545,13.4865,6.9286,90.8394,chickpea
46.73,71.14,81.43,16.4138,14.5121,7.4798,57.4377,chickpea
51.3,57.51,90.87,17.5345,11.2976,6.9913,84.0512,chickpea
48.41,67.73,86.71,14.2275,13.0427,6.9177,81.0158,chickpea
29.47,57.9,66.2,17.2378,12.5403,7.3596,66.1435,chickpea
37.46,80.91,71.93,19.4424,13.6982,7.5648,77.5159,chickpea
40.22,55.61,93.65,15.1325,11.9913,7.3464,85.5112,chickpea
35.92,60.46,77.97,16.5698,10.0,7.2062,66.7084,chickpea
41.1,54.76,91.88,13.8191,22.1855,7.293,79.4256,chickpea
44.56,53.42,78.5,15.0385,10.0,7.2409,83.7135,chickpea
46.02,82.91,70.32,14.6466,14.5444,6.8622,64.2898,chickpea
51.49,72.43,76.97,16.5939,10.0,6.8272,73.5771,chickpea
35.36,68.4,70.32,17.4094,10.0,7.1764,78.0097,chickpea
27.09,60.43,74.34,14.7807,14.2935,7.224,67.0387,chickpea
40.87,76.08,82.01,18.0672,14.5231,7.2034,66.2085,chickpea
53.07,58.76,85.12,18.0601,17.7845,7.4028,73.6496,chickpea
34.18,74.94,64.1,16.6937,15.1986,7.1354,83.0164,chickpea
43.49,58.27,79.83,13.9679,13.5506,7.3689,81.4373,chickpea
43.57,60.55,74.13,13.7763,11.1512,7.1566,66.3859,chickpea
39.53,74.58,73.52,13.3752,18.497,7.747,81.5217,chickpea
38.06,75.64,81.33,16.8983,16.7866,7.2242,66.6406,chickpea
30.61,72.97,74.5,12.5765,10.261,7.9022,58.8983,chickpea
19.75,56.5,93.82,16.3537,14.1139,7.3056,71.3286,chickpea
29.11,62.53,91.88,12.8378,14.4322,7.1359,86.2297,chickpea
34.88,68.57,91.82,16.6471,12.963,6.9302,81.5596,chickpea
46.78,58.51,75.05,15.0344,16.3156,6.7671,74.9843,chickpea
37.17,80.71,70.38,17.6673,16.4952,6.9026,70.8329,chickpea
33.85,42.98,80.82,17.2829,13.4285,6.9361,71.1024,chickpea
30.87,59.21,78.5,17.8701,13.1574,7.3184,76.0878,chickpea
43.25,61.9,73.91,17.9216,18.4969,7.0422,64.3156,chickpea
48.87,38.56,68.24,15.2873,16.7985,7.2561,71.5189,chickpea
46.51,53.04,79.58,12.6824,14.2171,7.5846,72.8443,chickpea
42.85,73.25,75.96,12.895,10.0,7.1737,61.4893,chickpea
26.2,67.3,86.88,10.8263,15.032,7.8237,66.6155,chickpea
35.19,82.73,86.65,12.8327,16.0943,6.8473,79.1051,chickpea
53.58,82.45,91.01,15.1376,10.0,7.1548,75.0951,chickpea
46.98,71.33,67.41,13.8807,14.7556,7.0382,71.9124,chickpea
25.7,70.13,84.01,14.6397,12.7499,7.481,65.8857,chickpea
37.56,67.66,72.73,15.9854,13.3374,6.5281,90.7685,chickpea
40.9,40.45,67.8,14.3919,11.2779,6.7671,66.6202,chickpea
31.9,53.05,75.71,12.7563,13.5554,7.1678,77.5159,chickpea
19.53,68.01,90.69,14.8935,18.176,7.6654,70.1213,chickpea
38.79,73.16,76.28,13.203,12.6608,7.2678,75.3628,chickpea
31.7,69.9,95.65,14.4584,16.8967,6.7945,79.5761,chickpea
31.73,58.08,85.49,17.6856,11.581,6.8409,61.2974,chickpea
35.16,76.37,76.06,14.459,16.2763,7.7019,74.9338,chickpea
36.93,81.82,91.6,18.5419,14.005,7.0137,86.9073,chickpea
37.93,76.38,84.45,17.8633,15.0561,6.9171,92.615,chickpea
30.93,76.9,70.67,13.8414,14.0215,7.6432,73.6999,chickpea
36.24,61.41,98.59,12.7778,15.9249,7.5033,75.4168,chickpea
23.94,77.76,82.59,14.8949,10.0,7.5822,97.1133,chickpea
40.49,68.46,80.19,17.3067,10.0,6.915,86.3492,chickpea
15.15,72.12,71.44,14.0196,15.2512,6.7425,68.8272,chickpea
35.68,70.65,91.8,16.8162,10.0,7.2399,68.8102,chickpea
45.35,65.79,85.17,17.4169,12.4083,7.3005,84.5655,chickpea
29.53,58.4,86.29,13.4519,13.837,7.3094,64.8896,chickpea
43.73,66.18,74.92,13.6479,11.5156,7.6435,85.8773,chickpea
47.25,76.87,88.34,16.4253,11.9253,6.6799,78.343,chickpea
11.54,62.59,89.12,15.3037,14.8147,7.4579,80.1772,chickpea
36.79,75.93,73.31,13.6279,17.0279,6.871,72.4327,chickpea
14.99,74.37,65.83,14.2956,11.1247,7.4567,68.7018,chickpea
37.05,64.01,85.81,14.859,12.2748,7.0575,89.6199,chickpea
37.94,80.89,64.27,11.8703,11.8062,6.9558,72.5326,chickpea
18.14,63.44,81.52,16.5313,10.0,7.017,70.8906,chickpea
53.4,82.1,75.53,14.0426,14.4251,6.7663,74.1986,chickpea
40.29,71.34,92.19,10.0,16.8042,7.2121,76.9302,chickpea
31.21,66.84,76.07,14.9523,17.0499,6.9682,64.6917,chickpea
49.72,58.12,91.07,13.5169,11.3877,7.4359,69.3513,chickpea
23.64,66.12,74.86,18.3776,10.2449,7.392,68.8197,chickpea
28.17,64.96,90.0,13.8291,14.0648,7.7064,83.4528,chickpea
19.6,54.42,100.6,12.8047,16.4878,7.3099,66.1404,chickpea
52.41,64.82,69.32,16.0159,14.4646,7.3562,57.4423,chickpea
40.66,58.96,82.92,13.6791,14.8679,7.62,55.3291,chickpea
43.28,72.86,107.49,13.4411,17.4255,7.0117,60.2962,chickpea
40.41,80.06,80.67,16.019,11.7826,6.7535,88.6154,chickpea
42.59,54.73,80.62,12.9191,13.3401,7.26,75.1621,chickpea
38.62,84.12,87.88,12.0855,18.9038,6.7732,80.0125,chickpea
40.17,65.71,80.41,18.452,13.4096,7.9362,80.3649,chickpea
38.86,57.25,62.93,16.159,10.198,7.6366,75.5618,chickpea
33.13,74.58,91.32,14.4716,11.9919,7.8492,74.2522,chickpea
37.63,62.54,59.97,14.993,11.1855,7.2187,85.4453,chickpea
40.19,66.18,75.83,16.0117,15.0715,7.3652,76.46,chickpea
38.88,62.96,92.07,16.9467,11.3122,7.0622,88.991,chickpea
26.18,58.83,76.43,13.488,14.8131,7.4649,81.2083,chickpea
27.24,74.24,73.06,15.7323,11.7918,6.8353,68.822,chickpea
46.66,64.14,88.79,13.9866,10.0,6.4371,70.0287,chickpea
35.54,52.63,71.49,14.622,14.9199,6.9628,67.7254,chickpea
42.68,72.51,67.78,15.3214,14.4454,6.7634,87.1755,chickpea
29.26,54.94,82.75,14.9866,15.5533,7.6434,70.9495,chickpea
26.21,55.47,78.17,16.4711,11.981,7.7447,67.0153,chickpea
31.25,78.93,67.56,15.9742,11.6614,6.7791,78.1978,chickpea
36.22,55.04,86.37,11.9837,15.2044,7.5875,74.0283,chickpea
32.68,43.84,84.64,12.2844,18.5571,7.4854,77.9457,chickpea
48.35,73.23,76.4,14.2606,14.0335,6.7291,93.8981,chickpea
39.44,63.96,77.09,18.6573,15.2738,7.0829,84.1307,chickpea
52.79,64.82,84.7,13.2968,13.0352,7.026,75.2701,chickpea
41.24,63.85,91.9,14.5836,10.0,7.4244,60.9158,chickpea
18.7,69.32,77.17,13.9273,16.9023,6.8314,70.0004,chickpea
46.45,59.47,86.55,13.8919,16.7252,7.1703,82.1105,chickpea
25.92,81.76,85.65,15.3565,16.1323,6.9942,63.2896,chickpea
30.7,63.6,21.35,21.2575,19.0064,6.2091,110.2184,kidneybeans
20.07,68.82,20.06,19.6248,18.3559,5.8193,99.1864,kidneybeans
20.24,80.6,14.87,22.7353,15.2315,5.6781,113.9136,kidneybeans
16.67,66.55,20.12,19.4791,18.8664,5.8673,101.0964,kidneybeans
22.48,58.14,13.33,19.3945,11.1199,5.5697,114.4956,kidneybeans
14.21,50.8,19.38,21.321,18.5111,5.4439,104.2589,kidneybeans
30.82,72.13,28.18,19.7351,19.1896,5.7602,89.7895,kidneybeans
26.59,69.47,24.11,20.1696,19.7257,5.4462,97.1758,kidneybeans
24.92,60.54,15.38,14.9591,14.3077,5.8037,102.6959,kidneybeans
13.05,77.26,19.64,20.0334,19.6745,5.924,120.6819,kidneybeans
21.03,62.78,15.83,16.3456,15.8757,6.0986,116.0114,kidneybeans
26.05,65.65,19.69,17.5581,16.5626,6.1948,123.2386,kidneybeans
22.97,66.83,25.21,17.3294,21.1538,5.658,123.5364,kidneybeans
14.99,63.49,23.27,17.9148,25.0423,5.9748,101.6525,kidneybeans
16.75,69.36,32.42,18.9023,19.1541,5.9724,105.1151,kidneybeans
17.74,78.52,25.96,19.027,16.5487,5.9147,102.8872,kidneybeans
16.98,55.58,21.02,21.3286,19.566,5.6322,100.2849,kidneybeans
27.64,71.89,23.39,20.4448,21.8171,5.4402,88.5851,kidneybeans
10.39,68.72,18.99,16.1979,20.863,5.9757,106.8525,kidneybeans
23.28,68.54,14.36,20.1666,27.2293,5.2026,94.1443,kidneybeans
13.54,75.72,26.53,20.6365,16.854,5.7063,106.6583,kidneybeans
15.19,67.49,25.04,19.3429,19.7567,4.9062,128.1577,kidneybeans
9.95,71.8,18.79,19.8782,23.6468,5.3323,101.9065,kidneybeans
17.25,74.16,21.37,20.3806,23.4585,5.493,108.9477,kidneybeans
27.55,61.96,26.2,21.5292,13.1498,6.1839,116.0665,kidneybeans
21.32,69.99,24.23,16.8502,18.9899,6.0408,109.8029,kidneybeans
14.01,64.49,12.68,19.5114,23.4536,5.6061,109.9248,kidneybeans
25.09,65.67,21.22,23.0167,27.6719,6.0553,103.376,kidneybeans
26.16,63.78,19.16,22.8333,21.1114,6.1107,104.6812,kidneybeans
20.52,71.71,25.57,21.7019,17.8964,5.7438,97.3999,kidneybeans
30.17,67.82,25.16,21.0736,15.9724,5.3155,115.4605,kidneybeans
24.11,70.95,26.59,23.3093,25.6562,5.7272,89.5851,kidneybeans
23.41,66.82,14.41,23.8357,21.1862,5.7657,116.7109,kidneybeans
15.98,50.96,16.08,19.7418,16.4558,5.3686,92.963,kidneybeans
23.14,67.31,25.57,18.0611,18.3905,5.9285,116.6261,kidneybeans
21.08,67.64,17.04,19.4594,19.9306,5.8979,103.4618,kidneybeans
22.6,69.43,12.39,26.1934,20.6314,5.9558,94.6813,kidneybeans
16.58,61.06,22.66,16.8613,16.3011,5.8976,112.793,kidneybeans
20.64,55.05,17.26,19.0589,17.1574,6.0554,116.2877,kidneybeans
15.92,73.25,28.95,17.1746,14.0412,5.7372,102.6192,kidneybeans
9.26,64.26,21.48,20.2495,22.1193,5.8706,114.2061,kidneybeans
24.99,68.71,20.8,17.5946,17.9751,5.6608,84.1492,kidneybeans
12.49,64.19,18.15,19.7825,20.399,5.5954,93.794,kidneybeans
20.54,66.94,27.95,16.0998,23.2668,6.2684,119.9241,kidneybeans
21.67,62.51,21.79,21.2352,19.6596,5.0847,104.7633,kidneybeans
21.63,57.32,17.96,22.4447,18.6611,6.1069,88.3779,kidneybeans
18.58,71.74,16.03,19.2321,19.5818,5.5828,100.0113,kidneybeans
21.36,60.97,19.63,19.7297,19.1896,5.5375,97.766,kidneybeans
22.35,68.64,15.11,19.6732,22.7385,5.8916,105.3404,kidneybeans
23.67,71.1,25.14,20.3618,19.9325,5.2786,103.2925,kidneybeans
28.67,61.13,10.96,19.9237,17.3668,5.5144,108.7893,kidneybeans
21.17,54.96,19.3,21.5362,22.1435,5.5028,106.3053,kidneybeans
20.32,91.26,23.05,22.4661,22.6915,5.7225,120.5974,kidneybeans
15.47,61.72,21.71,18.3719,14.985,5.5186,111.2455,kidneybeans
22.18,73.23,16.41,19.3813,23.5984,6.3604,111.5767,kidneybeans
23.34,86.39,23.3,21.8032,20.0941,6.429,118.6516,kidneybeans
19.04,74.9,15.57,17.1567,19.8498,5.0923,103.1123,kidneybeans
22.72,64.0,19.89,16.0586,22.0199,5.9905,94.3812,kidneybeans
18.54,66.33,23.26,20.4526,17.2991,6.1005,119.0697,kidneybeans
23.35,58.67,22.31,20.9927,21.8625,5.99,108.3584,kidneybeans
24.56,75.82,16.62,18.5554,17.8697,5.5697,108.3935,kidneybeans
24.49,72.66,25.99,18.8427,14.5751,5.7146,100.6667,kidneybeans
20.59,61.86,20.43,18.4796,16.0067,5.5381,100.8314,kidneybeans
14.8,56.58,23.71,18.2661,20.7011,5.6529,115.4672,kidneybeans
16.94,53.79,27.65,21.387,16.1636,5.3765,116.8466,kidneybeans
22.98,76.87,25.59,17.639,23.8302,5.7598,114.8382,kidneybeans
32.24,68.2,25.6,19.469,22.5679,5.274,114.9296,kidneybeans
18.3,69.15,20.96,18.1893,23.0003,5.73,112.6903,kidneybeans
22.28,58.77,23.97,17.0894,19.3743,5.363,108.3152,kidneybeans
17.22,52.36,21.07,21.7404,19.7736,5.8724,105.2462,kidneybeans
15.13,76.63,13.95,18.9603,15.4189,5.5622,119.1032,kidneybeans
16.62,67.42,21.51,20.3769,21.9874,5.9017,103.2628,kidneybeans
9.59,76.07,21.28,16.9838,20.1395,6.1786,110.6998,kidneybeans
26.77,63.14,22.92,18.5161,20.7019,6.3563,98.9599,kidneybeans
8.85,64.63,19.36,21.5122,24.0649,4.9152,100.407,kidneybeans
18.68,74.13,16.19,25.1745,17.1821,5.508,104.6385,kidneybeans
14.11,74.32,23.28,16.0476,18.6216,5.6939,98.9606,kidneybeans
15.58,74.98,13.43,19.5978,19.98,5.9611,114.9785,kidneybeans
26.88,64.05,27.29,20.8246,16.1937,5.2224,93.5197,kidneybeans
21.01,73.15,18.84,18.7678,18.4372,5.4563,107.9923,kidneybeans
15.17,78.09,21.23,21.699,20.4788,5.8456,108.3251,kidneybeans
17.05,65.95,22.79,18.2665,18.0237,5.8297,88.892,kidneybeans
16.17,61.87,22.95,20.3077,22.927,5.9322,102.5898,kidneybeans
19.78,80.43,12.96,18.9559,14.4672,5.9553,109.557,kidneybeans
20.86,60.46,24.12,22.4389,22.3683,5.9185,111.2873,kidneybeans
29.48,73.29,21.52,18.6473,20.9836,5.8678,104.9569,kidneybeans
10.42,66.42,16.82,19.2963,17.2935,5.8195,113.7689,kidneybeans
19.83,48.58,16.25,21.8914,16.2268,6.0327,105.9068,kidneybeans
18.42,78.29,18.33,17.9439,12.7592,5.0162,107.1365,kidneybeans
24.73,39.42,13.51,20.1375,16.6145,6.3405,109.5165,kidneybeans
21.77,47.16,28.61,16.3549,22.1415,5.0284,116.27,kidneybeans
22.95,72.27,27.43,17.8241,18.8317,5.4223,100.2428,kidneybeans
21.73,72.27,22.26,20.7643,22.4889,5.7206,102.1318,kidneybeans
15.34,60.62,18.88,18.0186,17.1404,6.0354,100.311,kidneybeans
26.06,68.48,19.01,18.9109,21.1213,4.7517,103.678,kidneybeans
23.99,41.69,23.79,20.9862,16.8475,5.7902,121.2623,kidneybeans
24.58,74.07,28.79,18.8416,16.1033,6.0773,112.7273,kidneybeans
26.32,69.5,17.15,21.6457,18.6786,6.1481,95.6891,kidneybeans
22.09,66.54,14.41,20.4313,17.0051,5.5559,100.9955,kidneybeans
27.4,67.21,27.74,20.8714,14.3715,5.6947,110.7277,kidneybeans
21.89,71.93,11.06,22.4819,18.4531,5.5843,97.9349,kidneybeans
18.9,66.71,14.96,20.6396,19.3193,5.6626,99.7466,kidneybeans
19.97,48.26,18.77,23.0777,22.8051,5.4389,120.4496,kidneybeans
19.88,88.96,12.2,21.8225,21.8104,5.4888,100.8662,kidneybeans
17.4,79.01,25.56,18.9531,22.6598,5.952,116.5467,kidneybeans
28.16,54.15,24.28,22.5863,21.1611,5.8461,119.5532,kidneybeans
21.48,63.55,17.13,20.5277,19.9978,5.9721,99.6654,kidneybeans
20.47,64.64,26.4,19.2106,15.3132,5.8749,98.1004,kidneybeans
21.94,77.79,27.25,20.5568,19.4496,6.0465,104.2387,kidneybeans
34.9,45.41,19.43,22.2247,20.7904,6.1074,96.1137,kidneybeans
14.34,62.01,17.75,20.9101,23.3723,5.1904,108.2103,kidneybeans
15.77,49.39,31.3,23.6448,21.0589,5.501,104.9435,kidneybeans
13.1,64.15,23.61,22.1731,22.7212,5.719,110.6058,kidneybeans
18.84,62.27,21.28,21.0463,15.904,5.7921,120.9694,kidneybeans
21.23,67.8,26.82,17.9479,18.0207,5.5655,115.1748,kidneybeans
17.67,60.95,21.51,19.6405,20.2881,6.1192,111.8924,kidneybeans
17.3,59.49,17.47,20.1433,22.4829,6.493,87.3395,kidneybeans
20.71,73.2,20.4,21.3933,18.5643,5.8652,111.4338,kidneybeans
17.49,71.55,25.19,21.2747,18.7527,5.8295,124.2263,kidneybeans
21.55,72.51,10.04,20.3391,21.0614,6.0973,76.8948,kidneybeans
25.57,65.23,18.56,20.2407,15.6224,5.147,113.8938,kidneybeans
23.39,61.28,26.92,21.4409,23.8222,5.81,105.4064,kidneybeans
24.41,65.81,17.44,18.2828,16.3626,6.1427,98.502,kidneybeans
25.43,72.01,27.73,23.391,13.2442,5.5749,115.0113,kidneybeans
21.41,45.23,27.07,15.9057,19.0302,5.3707,124.0971,kidneybeans
19.21,70.94,19.67,22.9108,24.0954,5.735,114.7523,kidneybeans
16.14,70.09,17.16,19.9096,20.7594,5.7788,103.2881,kidneybeans
18.04,67.62,18.56,22.0052,21.2533,5.482,97.5653,kidneybeans
17.38,65.51,33.32,20.7277,19.1242,6.5337,108.4463,kidneybeans
23.66,41.34,29.37,20.6921,18.5429,5.6325,115.7317,kidneybeans
21.73,62.6,20.63,21.1085,14.3653,5.3962,103.1295,kidneybeans
23.48,84.89,16.96,21.6181,12.2218,5.7672,104.0962,kidneybeans
14.2,67.13,20.59,19.3423,19.5888,6.1178,135.22,kidneybeans
27.16,63.93,21.22,22.0696,22.9376,5.8061,117.7865,kidneybeans
17.87,67.17,13.78,17.8311,20.0324,5.97,118.5013,kidneybeans
14.5,70.55,20.4,19.9893,20.8708,5.495,92.3971,kidneybeans
17.8,73.59,26.61,21.6719,23.7512,6.3207,99.9281,kidneybeans
32.42,64.71,11.0,21.99,19.9863,5.9966,107.7468,kidneybeans
18.06,71.25,24.13,20.9216,18.632,6.1667,96.9886,kidneybeans
18.37,83.77,26.87,19.2132,16.5444,5.9278,123.004,kidneybeans
19.04,77.06,17.2,21.7934,25.0666,6.0887,121.1031,kidneybeans
19.26,90.4,28.47,18.6613,20.5796,5.4944,101.6645,kidneybeans
16.09,60.43,16.55,23.5028,16.1692,5.628,124.8392,kidneybeans
20.72,83.76,22.21,19.8307,15.4865,6.2713,106.9575,kidneybeans
25.38,59.09,18.47,16.9207,22.7592,6.3459,132.8939,kidneybeans
21.57,70.54,18.47,17.6106,15.8877,5.3985,108.4469,kidneybeans
14.44,74.32,16.91,20.0873,24.5615,5.8874,112.7619,kidneybeans
18.28,61.89,23.49,20.2797,10.7306,5.6492,120.999,kidneybeans
17.24,67.88,24.24,23.9393,23.2678,5.556,119.7763,kidneybeans
20.26,76.1,19.68,17.923,20.4607,5.8997,112.1073,kidneybeans
26.65,59.9,13.2,20.0789,19.3558,6.1993,105.5886,kidneybeans
19.26,83.69,22.02,17.8812,18.4736,5.9581,112.1413,kidneybeans
19.56,53.15,22.11,19.0147,24.6722,5.6882,98.8382,kidneybeans
28.89,86.4,18.92,23.3679,21.1212,5.9802,108.5213,kidneybeans
24.38,77.01,29.34,17.7273,16.2904,5.674,95.9069,kidneybeans
22.87,66.1,12.18,21.1741,13.8433,5.9442,89.1912,kidneybeans
29.79,62.97,8.91,20.7858,19.5319,6.2888,107.5043,kidneybeans
22.45,61.93,16.35,19.9517,18.9968,5.073,119.6228,kidneybeans
10.07,65.64,23.55,21.0389,14.4404,6.079,116.258,kidneybeans
24.16,66.52,14.72,17.68,18.8338,5.2613,106.1809,kidneybeans
12.04,79.55,15.1,23.3126,17.2782,6.2299,124.4699,kidneybeans
22.26,86.69,24.76,23.8497,19.0279,5.577,101.3094,kidneybeans
11.43,68.99,22.31,20.0942,21.1778,5.3738,87.8217,kidneybeans
17.67,58.54,21.89,24.8462,23.4778,6.0433,85.179,kidneybeans
18.18,61.54,23.91,19.2019,21.7267,5.9275,95.1881,kidneybeans
16.15,65.17,17.87,20.8009,16.8357,5.4503,115.1662,kidneybeans
18.26,56.7,18.11,22.8638,20.1067,5.3615,100.652,kidneybeans
25.16,55.21,24.05,19.082,19.1893,5.7344,111.6096,kidneybeans
16.43,87.97,13.28,17.2369,15.0036,5.3786,123.4628,kidneybeans
22.73,70.03,9.29,16.7766,20.1947,5.4285,95.999,kidneybeans
15.17,58.67,17.83,24.1217,24.57,5.8405,111.785,kidneybeans
19.05,75.17,24.65,18.942,19.0973,5.4619,112.3896,kidneybeans
21.62,55.22,21.28,19.6285,14.2175,5.9493,98.3926,kidneybeans
15.02,56.04,24.29,17.7745,19.0908,6.3216,120.5421,kidneybeans
13.44,58.97,9.92,21.8967,15.3589,5.748,104.1229,kidneybeans
22.46,83.55,21.58,18.4369,21.5908,5.8456,103.1625,kidneybeans
25.62,64.47,23.27,19.0175,20.5746,6.5063,128.1161,kidneybeans
19.6,42.58,13.25,20.599,18.4873,5.3843,112.2277,kidneybeans
17.71,79.1,24.31,17.8719,18.0065,6.2169,116.2529,kidneybeans
20.78,63.94,19.44,19.6428,18.3633,6.1748,120.5489,kidneybeans
20.28,48.51,35.36,22.8044,19.0248,6.099,100.4953,kidneybeans
21.21,63.83,9.11,20.8565,16.6833,6.2521,119.4982,kidneybeans
7.36,72.21,26.85,20.2611,14.8367,5.8982,101.9811,kidneybeans
14.65,71.04,18.03,20.4297,22.4161,5.596,101.5538,kidneybeans
15.77,84.98,11.91,19.2217,17.8438,6.1831,104.28,kidneybeans
20.75,58.47,17.37,23.9923,19.5011,6.1965,100.7794,kidneybeans
20.93,67.47,21.39,18.3757,19.8558,6.1869,115.2216,kidneybeans
23.18,60.0,25.19,20.4219,19.9661,5.8156,109.6721,kidneybeans
21.29,51.58,28.61,20.2301,15.4785,5.5493,102.0878,kidneybeans
13.5,75.86,27.11,22.0175,13.9725,5.867,113.7451,kidneybeans
27.24,71.63,15.17,22.2063,17.2339,6.1298,104.2482,kidneybeans
26.36,69.84,25.65,19.936,20.1871,6.1585,103.7193,kidneybeans
13.71,71.27,21.96,20.5813,16.8162,5.6496,107.4868,kidneybeans
21.66,60.15,16.73,20.6571,17.9352,5.9104,111.6346,kidneybeans
17.02,56.94,18.94,15.4557,25.3819,5.3419,110.8985,kidneybeans
20.69,67.38,16.45,16.822,13.4637,6.1447,103.3675,kidneybeans
25.27,78.61,20.19,18.7899,16.7349,5.5258,115.4711,kidneybeans
30.65,83.08,16.35,18.8768,24.6898,6.0748,104.7761,kidneybeans
23.76,74.95,14.86,17.6014,18.8662,5.3977,100.4502,kidneybeans
21.47,67.29,22.4,21.4992,16.882,6.161,92.3198,kidneybeans
24.92,51.7,19.78,28.4334,49.8557,5.8823,158.9132,pigeonpeas
20.06,49.65,18.06,31.5827,44.7763,6.1353,145.7654,pigeonpeas
21.05,54.24,17.65,26.537,45.6327,5.905,136.1976,pigeonpeas
25.23,66.67,21.6,31.1652,43.9678,6.029,144.6474,pigeonpeas
17.61,73.75,10.9,28.0102,61.4208,6.0436,147.7079,pigeonpeas
13.13,37.24,18.85,26.4313,58.2473,5.9119,119.0578,pigeonpeas
20.35,80.23,31.59,32.2542,51.8871,6.0157,145.8584,pigeonpeas
21.54,68.31,14.57,31.2146,57.2772,5.9062,127.8349,pigeonpeas
18.69,51.32,26.43,29.4236,53.5892,5.9051,157.8854,pigeonpeas
27.37,68.01,20.27,29.0679,49.2689,6.2692,124.5844,pigeonpeas
7.57,77.93,16.99,29.879,37.461,6.0439,163.1904,pigeonpeas
25.6,72.99,13.4,29.3893,46.1649,6.0868,141.8625,pigeonpeas
23.96,77.99,20.7,27.4154,45.6547,5.6357,139.8554,pigeonpeas
22.28,53.34,27.27,28.1759,40.0685,6.1059,152.4168,pigeonpeas
3.32,62.86,18.05,32.9214,37.5969,6.1326,135.0095,pigeonpeas
26.42,57.75,19.6,34.3443,51.449,5.9004,152.1812,pigeonpeas
14.87,84.18,25.05,32.1253,50.2715,6.5213,137.0184,pigeonpeas
